Model,Temperature,Dataset,Training Start,Training End,Forecast Horizon,Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Examples,Sampling Strategy,Actual Values,Predicted Values,sMAPE SEM,MAE SEM,RMSE SEM,Deployment,Family
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,textual,csv,43.228,24.828,25.318,92.98998770713806,0.015453,0.090886,0.880573,0.0394424,0.3488344,10464.0,182.6,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[109.824, 108.715, 107.942, 108.213, 110.568, 112.941, 114.253]",38.24510797474626,19.521871938930445,19.410840373358383,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,textual,plain,8.815999999999999,9.646,10.806,104.12435970306396,0.0182782,0.1076314,1.0428153999999998,0.0425784,0.376571,12480.0,183.2,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[111.539, 113.842, 117.698, 119.211, 121.864, 120.753, 119.218]",1.3746876008751951,1.558565365969615,1.501318087548405,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,numeric,csv,6.5760000000000005,7.138,8.108,28.990525913238525,0.010045,0.0304778,0.2952907999999999,0.0145856,0.1289963999999999,6662.0,163.2,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.25, 112.4, 111.8, 113.5, 114.2, 116.1, 115.6]",1.719303928920073,1.938415332172133,2.112849734363521,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,numeric,plain,8.644,9.5,10.52,26.1864643573761,0.0126101999999999,0.028609,0.2771896,0.0108334,0.0958132,8480.0,167.8,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[111.2, 114.5, 115.8, 118.1, 121.3, 122.7, 120.9]",2.021481140154416,2.290702948878357,2.317828725337573,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,textual,csv,5.956,6.384,7.353999999999999,33.62765274047852,0.0138274,0.0348086,0.3372528,0.0138594,0.1225748,9335.0,172.4,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.85, 103.21, 100.56, 98.87, 97.41, 96.84, 97.12]",1.1747578473881328,1.3313436821497295,1.4170095271380498,API,GLM
z-ai/glm-5.1,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,textual,plain,8.452000000000002,9.254,10.322,38.10824818611145,0.0163526,0.040645,0.3937998,0.0179804,0.1590212,11153.0,167.8,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.243, 112.876, 114.521, 113.987, 111.654, 109.312, 108.745]",1.5836363218870677,1.7795465714613934,1.833475933848056,API,GLM
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,numeric,csv,4.590000000000001,4.866,5.348,27.31428751945496,0.0014916,0.0,0.0,7.84e-05,0.0006944,6589.0,2905.4,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.2, 110.5, 110.9, 110.7, 110.1, 109.9, 110.3]",0.7420040431156694,0.8040248752370786,0.8026979506638844,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,numeric,plain,3.96,4.098000000000001,4.826,32.63685069084168,0.0018464,0.0,0.0,9.34e-05,0.0008265999999999,8770.0,3520.2,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[108.9, 108.0, 107.3, 106.8, 106.2, 105.7, 105.4]",0.8300722860088753,0.891444894539197,0.8657690223148434,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,textual,csv,3.55,3.74,4.136,27.201654815673827,0.001823,0.0,0.0,7.819999999999999e-05,0.000692,9543.0,3364.2,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[107.581, 106.0, 104.418, 102.837, 101.256, 99.674, 98.093]",0.8163148902231294,0.8813512353199487,0.9105580706358052,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,textual,plain,4.348,4.554,5.164,32.54853315353394,0.0019778,0.0,0.0,9.32e-05,0.000825,11724.0,3479.0,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[108.762, 108.362, 107.962, 107.562, 107.162, 106.762, 106.362]",0.5591726030484684,0.6100540959619892,0.6122221818915091,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,numeric,csv,6.401999999999999,6.856,7.394,26.2807891368866,0.001553,0.0,0.0,7.6e-05,0.0006706,7364.0,2962.2,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[108.94, 108.6, 107.95, 108.2, 108.7, 109.1, 108.95]",0.6227310816074625,0.690410023102214,0.7143430548412996,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,numeric,plain,6.026,6.374,6.994,24.13031959533692,0.0016164,0.0,0.0,7e-05,0.0006164,9779.0,2818.4,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.8, 110.3, 111.4, 112.2, 111.8, 110.9, 110.1]",0.4249070486588802,0.5170164407443925,0.3790857422800282,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,textual,csv,4.5200000000000005,4.776,5.332,36.51191010475159,0.0021794,0.0,0.0,0.0001047999999999,0.0009273999999999,10678.0,4113.6,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[109.07, 108.69, 108.205, 107.71, 107.235, 106.87, 106.415]",1.0078640781375234,1.1018874715686715,1.0654876817683063,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,textual,plain,4.512,4.782,5.311999999999999,31.588983249664302,0.0021073999999999,0.0,0.0,9.08e-05,0.0008036,13093.0,3632.4,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[108.8, 107.9, 107.0, 106.2, 105.3, 104.5, 103.7]",0.6908067747206884,0.7472041220443045,0.742168444492219,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,numeric,csv,5.51,5.824,6.424000000000001,28.0405330657959,0.0016351999999999,0.0,0.0,8.06e-05,0.0007138,7251.0,3181.4,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[109.0, 108.82, 108.74, 108.4, 108.2, 108.0, 107.85]",0.6683861159539446,0.7592272387105192,0.7246350805750438,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,numeric,plain,3.618,3.806,4.242,22.724988555908205,0.0017212,0.0,0.0,6.56e-05,0.0005802,9666.0,3094.6,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[109.9, 110.7, 111.5, 112.3, 111.6, 110.8, 110.0]",0.775354112647892,0.847116284815727,0.8530615452591916,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,textual,csv,4.718,5.01,5.506,38.374923658370975,0.0020828,0.0,0.0,0.00011,0.0009728,10565.0,3886.6,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[109.762, 110.362, 110.962, 111.562, 112.162, 112.762, 113.362]",1.0059343914987695,1.0982486057355136,1.1434797768216105,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,textual,plain,4.988,5.268,5.766,32.20144476890564,0.0022454,0.0,0.0,0.000169,0.0014956,12980.0,3991.0,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[106.5, 105.9, 105.0, 104.0, 103.0, 102.0, 101.5]",1.0271679512134322,1.1258170366449425,1.1243736033899052,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,numeric,csv,4.54,4.868,5.246,29.93943061828613,0.0015106,0.0,0.0,8.56e-05,0.0007582,6476.0,2967.0,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[116.6, 116.9, 116.7, 116.5, 116.3, 116.4, 116.6]",1.7976234310889474,2.007404792262886,1.9657710955246035,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,numeric,plain,3.64,3.848,4.368,29.38924674987793,0.0016108,0.0,0.0,8.36e-05,0.0007416,8657.0,2944.8,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[109.0, 108.6, 108.2, 107.8, 107.4, 107.0, 106.6]",0.7617479898234061,0.8161641991658295,0.8031151847649253,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,textual,csv,5.01,5.314,5.8,29.543841934204103,0.0016275999999999,0.0,0.0,8.46e-05,0.0007488,9430.0,2890.0,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[109.162, 109.162, 109.162, 109.162, 109.162, 109.162, 109.162]",0.3446882649583532,0.3763190136041494,0.3905892983685036,API,GPT
gpt-5-nano-2025-08-07,1.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,textual,plain,4.05,4.24,4.868,34.24235072135925,0.0019664,0.0,0.0,9.8e-05,0.000865,11611.0,3464.2,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[104.3048, 104.3048, 104.3048, 104.3048, 104.3048, 104.3048, 104.3048]",0.8565220370778559,0.9218134301473374,0.9361805381442192,API,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,numeric,csv,80.77799999999999,46.554,47.144000000000005,1.9627077102661128,0.0,0.0162174,0.1571274,0.0199354,0.176312,6562.0,168.4,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.2, 111.5, 112.8, 113.3, 114.0, 115.1, 116.2]",43.53744197814106,22.01988569452621,21.8071372720034,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,numeric,plain,10.02,11.0,11.97,1.4683434963226318,0.0,0.0129875999999999,0.1258324,0.0181142,0.1602036,8743.0,173.0,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[111.2, 112.8, 114.3, 115.5, 116.4, 117.0, 117.5]",1.0597499705119129,1.2142610921873431,1.2612969515542325,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,textual,csv,148.83800000000002,80.244,81.636,1.9161954879760743,0.0,0.0167588,0.162372,0.0180702,0.1598149999999999,9516.0,163.2,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[1.3, 1.4, 1.2, 1.5, 1.3, 1.6, 1.4]",35.18028473449298,17.596075301043697,17.609200890443606,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,textual,plain,113.304,62.448,62.61600000000001,1.7486537933349608,0.0,0.0152336,0.147594,0.0199892,0.1767886,11697.0,163.0,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[10.2, 9.8, 10.5, 11.0, 10.7, 10.3, 10.9]",44.041716201801215,22.775506668348783,22.68854393741476,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,numeric,csv,71.22999999999999,93.466,171.406,2.052506923675537,0.0,0.0192988,0.1869812,0.0197804,0.1749434,7337.0,181.0,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[4.0, 5.0, 0.0, 2.5, 0.0, 20.0, 3.0]",39.22503129380523,64.87460948630057,140.7537677861591,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,numeric,plain,7.314,7.878,8.7,1.625450038909912,0.0,0.0148429999999999,0.1438104,0.0202398,0.179004,9752.0,168.4,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[108.7, 109.3, 110.5, 111.2, 112.0, 113.1, 114.4]",0.1835374621160487,0.2063104456880455,0.2370442996572583,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,textual,csv,190.924,101.422,101.474,1.6165596008300782,0.0,0.0158718,0.1537784,0.019357,0.1711964,10651.0,166.4,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]",2.347600051116036,0.6444330841910609,0.632902836144695,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,textual,plain,195.656,102.712,102.74,1.807121753692627,0.0,0.0174796,0.1693564,0.0216758,0.1917019999999999,13066.0,173.8,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[1.09, 1.08, 1.1, 1.07, 1.06, 1.05, 1.04]",0.3526839945333521,0.0932952303175251,0.0932201694913716,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,numeric,csv,178.75,96.59,97.958,2.8541316986083984,0.0,0.024617,0.2385092,0.0211442,0.1870019999999999,7224.0,190.8,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[0.5, 2.0, 3.0, 5.0, 0.0, 5.0, 2.0]",7.0141122032656416,3.278693337291549,2.084148267278506,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,numeric,plain,12.484,10.408,15.169999999999998,1.5251821517944335,0.0,0.0137906,0.1336156,0.0197378,0.1745648,9639.0,165.4,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[108.873, 111.322, 115.145, 119.331, 122.056, 124.332, 124.875]",5.380168770587034,3.028556421795704,6.313096704470793,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,textual,csv,152.63,82.244,82.426,1.9463864326477047,0.0,0.0180944,0.1753134,0.0178773999999999,0.1581081999999999,10538.0,164.8,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[0.0, 0.0, 1.0, 0.0, 5.0, 2.0, 5.0]",36.38667654513118,18.63229497404976,18.51513910290711,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Few-shot,textual,plain,152.66199999999998,81.388,81.526,1.805790519714356,0.0,0.017589,0.1704156,0.0215642,0.1907164,12953.0,164.0,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",37.78958115671567,19.889673300484347,19.806361250870893,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,numeric,csv,43.248000000000005,27.298,28.026,1.92260012626648,0.0,0.0158932,0.1539876,0.0206816,0.182913,6449.0,181.2,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[1.23, 4.56, 5.678, 9.1, 0.0, 7.0, 8.0]",34.58301496399641,17.880797073956185,17.72909631086706,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,numeric,plain,37.818,22.808,24.812,1.8712587356567385,0.0,0.0134074,0.129903,0.020827,0.1841992,8630.0,159.6,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[111.23, 112.45, 113.67, 114.89, 115.12, 116.34, 117.56]",31.44230643575626,15.95766630807901,17.164029072452657,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,textual,csv,60.23199999999999,33.342,37.418,1.938840913772583,0.0,0.0139018,0.1346921999999999,0.0158876,0.1405128,9403.0,185.0,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[104.32, 103.87, 102.45, 101.23, 100.98, 105.55, 107.33]",35.38508194140575,18.70732621194167,20.76753798600113,Local,GPT
openai/gpt-oss-120b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,Zero-shot,textual,plain,4.322,4.614,5.244,1.826660394668579,0.0,0.018001,0.1744042,0.0210248,0.1859483999999999,11584.0,179.2,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[104.312345, 103.987654, 105.123456, 102.876543, 106.234567, 101.345678, 107.456789]",1.262388212872728,1.3913396422153723,1.4336059430680386,Local,GPT
openai/gpt-oss-20b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,numeric,csv,42.76,63.17,106.948,1.3570506572723389,0.0,0.0083588,0.0809848,0.0123958,0.1096292,6562.0,155.4,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[10.0, 8.0, 18.0, 123.0, 1296.0, 9.0, 0.1]",26.10593687267323,44.303146840828354,87.68468927925785,Local,GPT
openai/gpt-oss-20b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,numeric,plain,45.25,105.9,171.994,1.390542221069336,0.0,0.0087642,0.0849134,0.0100872,0.0892121999999999,8743.0,150.6,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[3.0, 2000.5, 7.0, 23.0, 10.0, 1001.0, 1.0]",31.41536837282034,90.44522474956872,156.36706694825477,Local,GPT
openai/gpt-oss-20b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,textual,csv,189.562,100.964,100.992,1.432014322280884,0.0,0.0088214,0.085467,0.0132714,0.1173746,9516.0,154.2,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[1.27, 1.29, 1.31, 1.3, 1.32, 1.33, 1.35]",6.03557735432162,1.7305970068158558,1.7298999971096594,Local,GPT
openai/gpt-oss-20b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT,textual,plain,169.112,94.052,94.636,1.3387609481811524,0.0,0.0076425999999999,0.0740456,0.0126468,0.11185,11697.0,150.2,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[1.0, 2.5, 3.7, 4.6, 5.8, 6.9, 7.4]",8.696758246611203,3.267426204216402,2.858990381236004,Local,GPT
openai/gpt-oss-20b,0.7,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,CoT + Few-shot,numeric,csv,53.114,31.798,34.838,1.745748519897461,0.0,0.0114288,0.1107314,0.0127522,0.112783,7337.0,161.8,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[101.0, 113.07, 128.2, 10.0, 8.7, 11.2, 125.18]",33.58606505680592,18.41619271185008,19.09319051389788,Local,GPT
