Dataset,Model,Parameters,SMAPE,MAE,RMSE,CarbonTracker CO₂ (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO₂ (g),Eco2AI Energy Consumption (Wh),Time (s),Actual Values,Predicted Values
Covid-19,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=100,
             n_jobs=None, num_parallel_tree=None, ...)",48.08,2177.616455078125,2761.3750198044454,0.000954915751,0.002145878,0.0013460961291122365,0.011905085647810065,0.06450629234313965,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4292.8359375, 4224.84326171875, 4749.84130859375, 5151.42041015625, 6032.54296875, 6478.70458984375, 7368.12548828125]"
Covid-19,CatBoost,"CatBoostRegressor(loss_function='RMSE', verbose=0)",67.92,3380.274403252119,3613.701309188332,0.00453552401,0.010192189,0.001786836962399472,0.015803066821139942,0.34307432174682617,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5528.144720466691, 5998.589545869123, 6689.336474659445, 6813.149395348009, 6796.927604587661, 7577.226022465562, 7313.547059368342]"
Retail,RandomForest,RandomForestRegressor(),45.43,26.46537928571431,44.17359958902278,0.001685352758,0.00378731,0.001332372505988149,0.01178371176881505,0.12699365615844727,"[86.27850000000005, 0.0, 137.63199999999998, 50.094, 51.00150000000001, 43.956, 45.8205]","[60.28256300000002, 111.57262600000006, 148.39448800000002, 47.713324999999976, 39.99187500000002, 52.96559400000001, 60.34721000000003]"
Retail,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=100,
             n_jobs=None, num_parallel_tree=None, ...)",58.69,44.9209387817383,76.03256977771898,0.000886074735,0.001991179,0.0011665819689985254,0.010317434212724314,0.06842827796936035,"[86.27850000000005, 0.0, 137.63199999999998, 50.094, 51.00150000000001, 43.956, 45.8205]","[42.26689529418945, 192.61636352539062, 147.12388610839844, 35.1539306640625, 38.72561264038086, 72.24217987060547, 58.64508056640625]"
Retail,CatBoost,"CatBoostRegressor(loss_function='RMSE', verbose=0)",51.25,36.14331311930278,58.97273185810231,0.004976461469,0.011183058999999999,0.0018552902673049172,0.016408478604258613,0.39211058616638184,"[86.27850000000005, 0.0, 137.63199999999998, 50.094, 51.00150000000001, 43.956, 45.8205]","[51.68723092572139, 147.71873942848728, 157.25013683197741, 49.138894668138605, 42.576199142097806, 64.05863353397233, 67.41250677664019]"
Wike2000,RandomForest,RandomForestRegressor(),11.31,392.39,405.2203757216559,0.001616487854,0.0036325570000000002,0.0014176420663594867,0.012537849157235728,0.12668299674987793,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1444.03, 4542.2, 4875.95, 4808.18, 4666.35, 3874.52, 1711.96]"
Wike2000,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=100,
             n_jobs=None, num_parallel_tree=None, ...)",20.41,810.4439086914062,944.9573072366815,0.000728934258,0.001638055,0.0011196286614724362,0.009902171784241801,0.05723071098327637,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1409.2564697265625, 4120.1689453125, 4225.65673828125, 4098.279296875, 3522.9794921875, 3750.09228515625, 1408.4595947265625]"
Wike2000,CatBoost,"CatBoostRegressor(loss_function='RMSE', verbose=0)",12.76,503.3997032771914,560.669952380171,0.004859903641,0.010921132,0.001807215347619445,0.015983296461624715,0.3735475540161133,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1540.2414724474183, 4626.1701640272495, 4726.054357911915, 4539.76326220333, 4298.829879054476, 3607.8185382797487, 1616.675596864477]"
Carbon,RandomForest,RandomForestRegressor(),7.43,7.996780757613111,8.504961518420128,0.001462570284,0.003286675,0.0012277353273215774,0.010858284121391164,0.11296367645263672,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.24655235054094, 110.83921211635982, 112.57116751283348, 113.05774994298307, 112.63118172913809, 111.91280802395596, 111.68438753218042]"
Carbon,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=None, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=None, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=100,
             n_jobs=None, num_parallel_tree=None, ...)",8.15,8.801019587623772,9.213547690252057,0.000811503395,0.001823603,0.0011697255082663927,0.010345236167883262,0.0628352165222168,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[111.94823455810547, 112.05225372314453, 113.83790588378906, 112.72813415527344, 112.81159210205078, 112.73821258544922, 112.4563980102539]"
Carbon,CatBoost,"CatBoostRegressor(loss_function='RMSE', verbose=0)",7.98,8.606019697441837,9.042892523147113,0.00511952132,0.011504542,0.0018805393686090763,0.016631785623018477,0.39287877082824707,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.63148545219954, 112.45002868851792, 112.45153187839021, 114.00296922646713, 113.14775083863037, 112.21735425452711, 112.30661144806058]"
