model_name,model_id,family,provider,deployment,parameters_b,context_length_k,dataset,horizon,prompt_strategy,representation,smape,mae,rmse,inference_time_s,co2_g,cost_usd_per_1k_forecasts,run_id,evaluation_date,hardware,quantization,notes
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,cot,CSV numeric,19.966,0.14495,0.17617,1.404,1.71458,0.17506,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,cot,CSV numeric,17.88,0.12667,0.1557,1.328,1.79359,0.18874,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,cot,CSV numeric,18.77,0.15879,0.2433,1.389,2.31402,0.16202,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,cot,CSV numeric,18.838,0.12669,0.19778,1.416,1.66127,0.18006,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,cot+few,CSV numeric,18.922,0.15594,0.22191,1.377,1.80151,0.18704,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,cot+few,CSV numeric,16.646,0.11185,0.14081,1.661,2.40858,0.19078,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,cot+few,CSV numeric,18.021,0.1608,0.25557,1.541,1.94936,0.1677,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,cot+few,CSV numeric,17.42,0.15254,0.21781,1.289,1.80596,0.18428,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,96,cot+few,CSV numeric,17.794,0.15377,0.24284,1.543,1.93209,0.18687,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,zero-shot,CSV numeric,22.504,0.18283,0.22712,1.561,1.72661,0.20124,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,zero-shot,CSV numeric,21.699,0.14888,0.18635,1.655,1.87106,0.22731,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,zero-shot,CSV numeric,20.412,0.15038,0.22489,1.345,2.75359,0.20053,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,zero-shot,CSV numeric,21.151,0.14186,0.20474,1.602,2.73037,0.20594,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,zero-shot,CSV numeric,18.583,0.13319,0.18191,1.619,2.17158,0.17267,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,few-shot,CSV numeric,21.172,0.18505,0.23504,1.637,1.8016,0.21202,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,few-shot,CSV numeric,19.996,0.16632,0.2635,1.392,2.70593,0.18528,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,few-shot,CSV numeric,19.039,0.15016,0.20805,1.788,2.58524,0.19054,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,few-shot,CSV numeric,21.031,0.15199,0.22154,1.473,2.72837,0.18132,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,few-shot,CSV numeric,19.575,0.14853,0.25193,1.822,2.51844,0.22524,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,cot,CSV numeric,20.441,0.15938,0.21643,1.756,2.42106,0.19396,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,cot,CSV numeric,21.016,0.17584,0.23408,1.847,1.94989,0.17878,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,cot,CSV numeric,22.375,0.15401,0.19862,1.662,2.65951,0.18324,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,cot,CSV numeric,19.626,0.16571,0.27937,1.608,1.84117,0.1722,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,cot,CSV numeric,22.043,0.15055,0.23166,1.4,2.24709,0.21335,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,cot+few,CSV numeric,18.388,0.12871,0.2062,1.725,2.50766,0.17929,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,cot+few,CSV numeric,19.159,0.13895,0.20069,1.697,2.7503,0.18868,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,cot+few,CSV numeric,18.937,0.12427,0.18362,1.681,1.79861,0.17985,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,cot+few,CSV numeric,19.907,0.17749,0.26588,1.845,2.58088,0.19963,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,ETTh2,192,cot+few,CSV numeric,19.048,0.12466,0.15639,1.788,2.57244,0.18543,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,zero-shot,CSV numeric,20.231,0.2108,0.34442,1.486,1.91257,0.17321,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,zero-shot,CSV numeric,21.582,0.2281,0.37265,1.412,1.74784,0.16578,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,zero-shot,CSV numeric,19.25,0.21375,0.26776,1.223,2.09443,0.16089,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,zero-shot,CSV numeric,22.217,0.21014,0.26729,1.641,1.66553,0.16837,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,zero-shot,CSV numeric,20.261,0.17881,0.21647,1.217,1.67464,0.15588,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,few-shot,CSV numeric,20.153,0.21488,0.30014,1.346,2.00453,0.20025,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,few-shot,CSV numeric,18.9,0.16238,0.20959,1.306,1.74939,0.18385,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,few-shot,CSV numeric,20.063,0.17274,0.23956,1.447,1.60167,0.19801,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,few-shot,CSV numeric,19.934,0.22836,0.28534,1.603,2.40265,0.2059,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,few-shot,CSV numeric,19.163,0.21047,0.32018,1.572,1.63455,0.18195,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,cot,CSV numeric,20.314,0.22827,0.32675,1.379,2.13956,0.16739,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,cot,CSV numeric,19.763,0.1977,0.27844,1.304,1.86751,0.17279,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,cot,CSV numeric,19.809,0.19182,0.29595,1.335,2.44886,0.20248,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,cot,CSV numeric,21.973,0.20912,0.30693,1.606,2.15259,0.19644,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,cot,CSV numeric,19.843,0.20849,0.28022,1.55,1.7024,0.19052,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,cot+few,CSV numeric,19.086,0.19938,0.24874,1.546,1.58449,0.20354,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,cot+few,CSV numeric,19.216,0.22225,0.3557,1.481,2.28262,0.19594,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,cot+few,CSV numeric,18.221,0.16898,0.25263,1.237,2.11617,0.16225,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,cot+few,CSV numeric,20.499,0.21135,0.30287,1.446,2.26392,0.19616,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,96,cot+few,CSV numeric,20.983,0.21819,0.36343,1.249,1.6171,0.15774,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,zero-shot,CSV numeric,22.277,0.21855,0.34687,1.701,2.05367,0.22569,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,zero-shot,CSV numeric,22.136,0.20652,0.28542,1.505,1.85653,0.1803,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,zero-shot,CSV numeric,22.94,0.22649,0.3152,1.733,2.29935,0.22798,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,zero-shot,CSV numeric,22.103,0.2212,0.30707,1.874,2.48389,0.22889,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,zero-shot,CSV numeric,22.472,0.25201,0.38268,1.4,2.33885,0.21286,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,few-shot,CSV numeric,21.17,0.21015,0.3389,1.495,2.19357,0.19811,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,few-shot,CSV numeric,21.518,0.24606,0.3914,1.393,2.79668,0.22453,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,few-shot,CSV numeric,20.561,0.22967,0.28782,1.881,2.42557,0.21068,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,few-shot,CSV numeric,21.855,0.24839,0.30167,1.465,1.84018,0.21834,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,few-shot,CSV numeric,21.918,0.25008,0.38215,1.353,1.68608,0.17448,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,cot,CSV numeric,19.52,0.21579,0.28468,1.799,1.7441,0.2198,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,cot,CSV numeric,21.313,0.23358,0.36183,1.793,1.72497,0.18356,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,cot,CSV numeric,23.034,0.2418,0.39306,1.418,2.50278,0.18304,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,cot,CSV numeric,21.237,0.22845,0.3861,1.668,1.74104,0.20863,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,cot,CSV numeric,22.111,0.25037,0.38928,1.428,1.78273,0.18246,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,cot+few,CSV numeric,19.517,0.194,0.30886,1.682,2.3211,0.18014,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,cot+few,CSV numeric,22.027,0.2077,0.30927,1.717,2.40714,0.22825,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,cot+few,CSV numeric,21.043,0.21258,0.29804,1.593,1.81352,0.17947,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,cot+few,CSV numeric,20.808,0.19644,0.27775,1.668,2.39078,0.19627,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Electricity,192,cot+few,CSV numeric,19.765,0.18099,0.27043,1.507,1.72039,0.19666,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,zero-shot,CSV numeric,23.549,0.29943,0.44502,1.467,2.202,0.18799,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,zero-shot,CSV numeric,21.71,0.28489,0.45404,1.459,1.93142,0.1868,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,zero-shot,CSV numeric,24.243,0.33957,0.53257,1.624,2.42106,0.1802,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,zero-shot,CSV numeric,21.336,0.32643,0.44304,1.6,1.99414,0.15926,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,zero-shot,CSV numeric,22.214,0.34407,0.42244,1.327,1.83413,0.16234,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,few-shot,CSV numeric,21.686,0.32621,0.39385,1.595,2.35655,0.1731,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,few-shot,CSV numeric,21.644,0.31176,0.39276,1.369,2.45843,0.20676,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,few-shot,CSV numeric,21.161,0.27719,0.42794,1.536,1.88784,0.18761,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,few-shot,CSV numeric,20.614,0.26057,0.3811,1.27,1.66591,0.19816,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,few-shot,CSV numeric,22.414,0.31833,0.51554,1.675,1.6416,0.17721,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,cot,CSV numeric,20.78,0.25061,0.39538,1.403,1.96933,0.16114,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,cot,CSV numeric,20.257,0.31969,0.39076,1.304,1.79206,0.17947,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,cot,CSV numeric,22.45,0.3125,0.38814,1.309,2.34359,0.18743,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,cot,CSV numeric,21.057,0.30987,0.49004,1.218,1.86661,0.18213,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,cot,CSV numeric,21.94,0.34008,0.49015,1.567,2.35202,0.18026,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,cot+few,CSV numeric,19.976,0.2865,0.4656,1.357,1.99882,0.1817,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,cot+few,CSV numeric,19.365,0.26131,0.43342,1.499,1.67751,0.1713,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,cot+few,CSV numeric,21.075,0.24893,0.41416,1.41,1.80754,0.18532,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,cot+few,CSV numeric,20.227,0.26197,0.40644,1.501,2.48181,0.1865,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,96,cot+few,CSV numeric,21.609,0.32687,0.53988,1.543,2.46321,0.19523,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,zero-shot,CSV numeric,22.011,0.26883,0.42105,1.574,2.29948,0.21092,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,zero-shot,CSV numeric,24.828,0.4005,0.53832,1.735,2.51998,0.19232,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,zero-shot,CSV numeric,21.402,0.25435,0.40408,1.602,2.7838,0.19948,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,zero-shot,CSV numeric,21.273,0.28829,0.46036,1.379,2.30212,0.21987,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,zero-shot,CSV numeric,23.705,0.3651,0.44486,1.537,1.73454,0.17797,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,few-shot,CSV numeric,22.476,0.3351,0.53176,1.808,2.50816,0.2198,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,few-shot,CSV numeric,22.482,0.28677,0.4333,1.804,1.68504,0.20248,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,few-shot,CSV numeric,21.578,0.25534,0.35764,1.824,2.43221,0.18573,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,few-shot,CSV numeric,19.695,0.26128,0.42502,1.497,2.34116,0.19537,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,few-shot,CSV numeric,21.928,0.34404,0.44512,1.379,2.06296,0.21476,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,cot,CSV numeric,23.568,0.38167,0.51456,1.557,1.83324,0.20613,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,cot,CSV numeric,21.017,0.28301,0.46912,1.606,1.83049,0.19346,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,cot,CSV numeric,21.675,0.2733,0.33037,1.582,2.39069,0.19212,3,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,cot,CSV numeric,22.494,0.36028,0.56779,1.63,1.99869,0.22561,4,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,cot,CSV numeric,21.043,0.27701,0.45833,1.623,2.5114,0.20709,5,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,cot+few,CSV numeric,22.06,0.28783,0.38013,1.51,1.85409,0.22424,1,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
GPT-5 Nano,openai/gpt-5-nano,GPT,OpenAI,API,,,Traffic,192,cot+few,CSV numeric,22.179,0.31553,0.50358,1.763,2.17099,0.20016,2,2026-05-28,API,N/A,synthetic example data; replace with real benchmark outputs
